poapAddress,validatorIndex
0x00057ef157d01c28da3e545487a4d93f55b70842,[15871]
0x0007a75d9fd37a8d341465e50ed7c0874eb16076,[1644]
0x00c710e0de370d32296ec5bc6b84a52736806d9c,"[2646, 2647, 2648, 2649, 2650, 2651, 2652, 2654, 2655, 2657, 2658, 2660, 2663, 2664, 2665, 2667, 2668, 2669, 2670, 2671, 2674, 2676, 2677, 2679, 2680, 2682, 2683, 2684, 2686, 2687, 2688, 2689, 2690, 2691, 2692, 2693, 2694, 2696, 2697, 2701, 2702, 2703, 2705, 2707, 2708, 2709, 2711, 2712, 2714, 2715, 2716, 2717, 2718, 2720, 2721, 2722, 2724, 2725]"
0x00ed7b535d80c0d4da502184985714caf099e3ea,[19672]
0x00f3a75eb9cdd591454836f9f1bc5eea90d8d102,[12003]
0x010af29077a8520cc3f55be2031d7e37808ba137,"[2329, 2340, 2357, 2364, 2367, 2368, 2380, 2403, 2438, 2442, 2471, 2472, 2479, 2482, 2489, 2502, 7941]"
0x022ca32d31da3ef85922aafd9ad29c5b2418172c,[7974]
0x031b802b4c275492c9634865f827147039aaf356,[9096]
0x031e2e67bee28088c6899298f8f5720a88ded3cf,[16060]
0x0320c78f5a09b05963dc5587e7af673041893051,"[9284, 9285]"
0x03a40eca8b9b77c204206277d018cfe1cfea66c2,[216]
0x0506770e0111999da69148cae4a43dd9bd5bd850,[12634]
0x0513647e69d5b2acce36acc31a8895989cd5178a,[12861]
0x055c55d68781127a25c5bc5c909790d3c0ba49b9,"[18799, 18806, 18809, 18814]"
0x060c433b309bfff14dd6f2db790fa7928480f5b6,"[1822, 2785, 2788, 2789, 2790, 2791, 2792, 2793, 2795]"
0x063cd72c1c0ddef2033dcc76c54674611edac25a,[13905]
0x065f3f3ff5365cf121f450213a40fcb197a36d82,[9567]
0x0678527f9f3e048bb0becb0fe0d8f5a4a0fdad44,"[21817, 21819]"
0x06ca94c36ef42105621d9b3229db4b1418dfcadc,"[138, 139, 140]"
0x073707215b3d0541358c6ace45752798e0941203,[18976]
0x074fc04df143f5d689c44057eecaea5f360f6bb3,[12979]
0x076ff6a2a18d29ba1f378bc0865177b5fb2710b5,[16404]
0x07f20b1265059feb39d605e8476aa51595483ec6,"[22652, 22654, 22785, 22786, 22789, 22792, 22793, 22795, 22796, 22797, 22798, 22801, 22802, 22803, 22808, 22810, 22811, 22812, 22813, 22814]"
0x08709a90c009250f0968c661ffbefb35a48f84b6,[3086]
0x088953d68e9af6700eb75a5b59c5853cb6a9017d,[1513]
0x09229be5011e073165c87b788c8407390c61a43f,"[8509, 8512]"
0x09263c3bcee3bd42849e1a8133076c4118042e23,[18788]
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,"[9131, 9133]"
0x09a6af0fe48c9eef08144fb3f2e47d54097baa6b,"[6068, 6071, 6072, 6074]"
0x09af713dfa98d66c606dd30227bf8d815df3fc92,[9667]
0x09c42e280047fd190ea406819fd68419f7a1e5a1,[19057]
0x0a8ef379a729e9b009e5f09a7364c7ac6768e63c,[15508]
0x0abf3b8f4c6b6c4ab85277920ec6da7ab60de9dd,"[3316, 3318, 3319, 3320, 3322, 3323, 3324, 3325, 3326, 3327, 3328, 3329, 3330, 3331, 3332, 3333, 3335, 3337, 3339, 3340, 3342, 3343, 3344]"
0x0b7ba2fc6388ba33295831e9d302d700c6015fff,[12073]
0x0b80ce1ed63dad444cb5b6b75ab914537034d460,"[242, 244, 245, 246, 248, 249, 250, 18807, 18808, 18812, 18815, 18816, 18817, 18818, 18820]"
0x0bc83a83a66f32b24fd1fb2f2745ed582c4824fe,[8688]
0x0bd43047da61afc9514eb1d24cdd49de6f02207e,[8557]
0x0c683b9a1c89650109a506215ca72c9c905ec1f0,"[12162, 12163]"
0x0cb577c55a2e7ce0cf2bf1b63ef75a4d3f8019f2,"[2890, 2891, 2892, 2893, 2894, 2905, 2906, 2908]"
0x0cbae1432680e0f2160b919870d75f21d6e5c9ec,"[6064, 6065, 6066, 6067, 6075, 6076, 6078, 6088, 7029, 7032, 7038, 7127, 7128, 7134, 7141, 7185, 7195, 7197, 7205]"
0x0cbf26cf9a087a2b4756942ab0edfd2039018b5f,[7701]
0x0ce14196a7f66aa4664084781edf8781431b69e4,"[13136, 13163, 13194, 13196]"
0x0ce7365fb32e650229696ae2da631eeeac15cc1d,[183]
0x0dd56de3c54a5d21a2ee080af797df559f80abae,"[144, 9838, 9981]"
0x0ddb73a04c218b533b78237d47e85f84037afc51,[1645]
0x0dde2e438d72e54c8d2e81f1bf51f42646e6c467,[11671]
0x0e132164d513179613341df2cb481d0498219ede,[8463]
0x0e892dac778626ed41a97978df7075921c49b9d4,"[13863, 21533]"
0x0ee8bc562f05bffbb47e2136ad045ad1ff603f8e,[1794]
0x0eee9b64879b4a541d44d1b2d1bfdfc1d767457b,[8268]
0x0fc338d0a925fa564171d1d7c0ffdb271ad19d49,[7970]
0x0ffb4a412e1aa15295f3b0e28fd79092b88b2db3,[7578]
0x1066e417449763f5dc623091dcc8379c4bc758d9,[1576]
0x10ee4a1afd15073a97975236dced5d95e68477ea,[9696]
0x113cbc79b22877a77705e50e94826376171b433d,"[19092, 19164, 19265, 19269, 19288, 19290, 19350, 19351, 19359, 19367, 19504, 19506, 19510, 19511, 19512, 19513, 19515, 19516, 19551, 19552, 19555, 19556, 19565, 19567, 19569, 19570, 19571, 19573, 19574, 19576, 19580, 19592, 19593, 19596, 19597, 19598, 19608, 19609, 19610, 19611, 19612, 19613, 19614, 19615, 19616, 19617, 19618, 19619, 19620, 19621, 19622, 19623, 19624, 19625, 19626, 19628, 19630, 19631, 19632, 19633, 19634, 19635, 19637, 19638, 19639, 19640, 19641, 19642, 19643, 19644, 19645, 19647, 19648, 19649, 19651, 19652, 19653, 19654, 19655, 19656, 19660]"
0x119b49a1c266c67656d098c320b697cc5ce94c43,"[1858, 11428]"
0x1266924f254a0572fe93bf05f74187bb10c6676b,[191]
0x1276e77dec623f193dc1dbf5607ee7a3c14d6b0a,"[2619, 2620]"
0x12b82392648e49a76226ccb9c1a81e3960312a93,[19068]
0x12e23788c4b571f6c6124ff9f7d16de96398c2dd,"[12160, 20035]"
0x1337c0de7360c041fc72b08b97de0d88475a1c5b,"[63, 19601]"
0x13dae9bd6517820244d440e807e8ecd585a0ae9c,[1372]
0x143884b56a50c2ce9a90c4029f339672a8dfc1ae,"[13857, 13906]"
0x1477d2a1d140e02b669e7623a9613c3cf9283521,[19900]
0x14f8402cfeadb98df5a4ef6b3e45004130db8d23,[21792]
0x150f2c2d199a54aac8dbb9959c99eed50bdc4ea1,[9559]
0x153bf1405804309ff56e87b0c1d783d1cc4b5f8f,[1323]
0x155eca19967a30b27eb3b182a2e057cbcc314278,[3188]
0x15a5c052ade64500a8bc19190ad0792edf90bb8a,[8499]
0x15d22d4e99f14e61a293893d3a3292aaebc9252b,[2525]
0x1623b06f4cf1dd0f88b2ccdaeb0811c064c9e982,[2616]
0x1678818bebdb4449e60522a928645553456d849f,"[14858, 14859, 14861, 14862, 14863]"
0x17218267eb235cdc5cacd80633d18c4603c78048,"[483, 484, 485]"
0x172c015dab2ab790f5c639cdb996a29349a72086,[21069]
0x174da907db087f85e8d43b6e2af755260f900810,"[21843, 21844]"
0x1755cee5b7f69a65c0bdb528b3e485f29acce41b,"[1772, 1773, 1774, 1775, 1779, 1780, 1781, 1782, 1783, 1784, 1786, 1787, 1788, 1790]"
0x1755f8e0345183c723351584946246bb705a80d6,"[20102, 20111, 20113, 20116, 20123]"
0x177f7cb5dbb6bfed435d70b260e035c7e4d6a2f5,"[4620, 4621, 4623, 4625, 4626, 4627, 4628, 4645, 4646, 4647, 4648, 4649, 4650, 4655, 4659, 4662, 4668]"
0x181651fa9549d5b143feb5095448de2d20ee7d0a,"[19021, 19022, 19023]"
0x18581342e674b32746f2efc2c0b921da075b74a9,"[20209, 20210, 20211, 20214, 20215, 20216, 20217, 20218]"
0x185ae85fd1875998ab7d6a81e1fa3a9049674afa,"[18330, 18551]"
0x18a59fd07bb64609743f85bfa4246d8c9a035faa,"[6089, 6090, 6091, 6092, 6094, 6096, 6097, 6098, 6100, 6101, 6104, 6105, 6106, 6107, 6108, 6125]"
0x19031c02db094b64b7688a88dfdd084ef5c3fbff,[1509]
0x193bd90b68eb1df24d9c52d78960717b5e2ec9bb,"[1216, 1217, 1218, 1219, 12896, 12897, 12898, 12917, 12919]"
0x1959062d601c40ef3b093a63f0954c6ee54a0a0f,"[9993, 9994, 9995, 9997, 9998, 10000, 10003, 10008]"
